PC1,PC2,PC3,PC4,PC5,PC6,Target,samples
62.130031047443346,12.269252535629427,14.25771710771208,-10.174904426598127,-32.01828494385333,12.664982984690921,1,sample_186
-12.378381563787158,35.68364492074188,-3.7397275443705738,19.386306866893268,-55.27446219048688,24.314280275218913,0,sample_187
-13.672083696216127,36.7983168775429,-9.189277733303985,8.457989829287518,-22.226840287262416,10.513656008226796,0,sample_188
-15.680221815227629,30.847017315614522,6.946879406306219,15.42286896457655,-27.558877654706308,8.700549812440633,0,sample_189
28.71626100378241,18.87657489130651,12.098322657084514,4.408282207239687,-27.830863816993897,6.943092649685108,1,sample_190
-25.37398312755769,38.8533849287085,7.553636255725765,15.761129170404578,-32.52722806049202,13.829395580574714,0,sample_191
37.243195258022524,12.75126224278292,19.590409619654853,7.783656893618488,-4.197935653842586,-6.832090955836888,1,sample_192
-21.235335424416782,32.90108420766856,3.502479662181928,9.065714968246148,-2.4317470731107416,0.3017399945618499,0,sample_193
51.16037610285053,3.1604518042221525,15.663020844239435,38.54969495283086,-10.51443205143891,15.059031122624338,1,sample_194
16.795119106646993,18.95998641719538,15.390328250800804,7.959793156838521,6.3017348315610855,-18.2781514714006,1,sample_195
-21.611264593461506,36.863056978985625,-0.1687255815456658,1.399816362175959,-17.153162266882177,13.365038121419698,0,sample_196
42.37357928026914,15.997859483159392,12.864671555117145,-5.607634925432322,-16.860452431932725,3.9307414361258095,1,sample_197
-22.151340413749878,36.6563698352366,3.5169404429265336,14.064285007391192,-28.76509707551636,10.910354505558773,0,sample_198
34.16295120730716,11.06881234090704,21.519011691047172,2.8571214447391053,-3.035380518594787,-7.39385369573941,1,sample_199
37.959539689391285,12.157382496729532,8.221327177020981,33.67381953026205,-20.404839150041486,9.827808036413742,1,sample_200
28.731246858133716,12.754357002849149,29.428347760826693,-0.22647809047693207,3.9436790082936284,-8.629828445237012,1,sample_201
-36.78774399439265,34.95191774433914,13.525206803764775,5.537849253449335,16.346969966125958,-17.30543015073987,0,sample_202
39.36487082435831,7.731552677511923,14.914521306753358,36.99955606871637,0.25120998325883004,4.3102211973129405,1,sample_203
-25.297880397767294,34.80848925336312,5.685224224307714,4.06322873724885,6.076063499300188,-13.820909166994714,0,sample_204
39.08710925288662,0.3533319840447099,21.711953191993647,40.61626956082673,12.914838799279925,1.0494656764599692,1,sample_205
-36.32265281564854,31.094325215451512,18.92409264716303,9.546624298780626,6.002577370179455,-2.001194531231193,0,sample_206
62.31276200899896,-1.6125453452170904,14.358427079159206,44.02154748074945,-12.09439355871918,14.688324428081865,1,sample_207
-8.089883348695516,27.255875641162945,12.728830742789606,22.458387761635347,-29.398839934965608,13.835465067318596,0,sample_208
58.931421088232796,12.517128424645177,7.155689763226004,3.5111832007892003,-34.68155418661191,11.16438110274342,1,sample_209
-33.14517095063033,37.80918624739238,-2.824254844014506,4.287182557016336,-14.469235342213219,5.185619952555543,0,sample_210
33.70993300954345,17.407216396741408,17.322634760738612,-10.678294052318769,5.583739439179209,-6.309583059867837,1,sample_211
-26.12942430241082,34.36088055370911,-0.751405055732323,1.7219476389432418,10.044133319244992,-7.390049927459971,0,sample_212
55.964794398125065,9.278965415595016,20.32807824550351,-5.50258712179208,-15.140953782456299,-11.822439377355238,1,sample_213
-24.714421809561003,34.673439523940466,2.42707344621775,6.344139622066842,-4.900653850453227,-2.4090009087661626,0,sample_214
42.549608577844985,6.298651635591374,17.104717214295114,35.40007647757171,-6.137563087774593,7.016833479636746,1,sample_215
29.07859883180495,16.736159747132547,20.58598631796496,4.396429849162482,-1.7557699496803636,-10.687037987049637,1,sample_216
-17.168565773358644,39.370494217178916,-6.381316500666869,8.737581813171172,-32.652452753264434,6.531904429304953,0,sample_217
-13.184954226294193,32.710408469890744,-3.1166137643913707,12.955736773471147,-10.756872041414372,-3.3474855335921507,0,sample_218
41.62723265924708,4.654325058929405,15.413523153205519,40.530973533845746,-11.314737784970552,2.2655080713185978,1,sample_219
-15.696155382093057,38.25151013612889,7.548666760768102,16.971079809870588,-39.74011416883396,10.19363272117742,0,sample_220
47.62565801565059,17.010954001241164,11.22359228095044,3.942881096379594,-25.365738922472076,1.197736287861994,1,sample_221
-8.603762764281305,38.73637399475025,-11.164886377350063,12.776017895889916,-54.41742566818865,19.871144588670305,0,sample_222
-25.767075258599842,32.265861174464845,5.748816944276153,10.446223860680785,-12.59540088565862,-0.622590260840732,0,sample_223
49.23265273327338,16.12012875973011,6.892314471251415,-1.9880821293044766,-22.128581196461948,1.7190546955633377,1,sample_224
-15.94928196020079,34.5348454312607,-5.176251885299471,11.702925646022,-25.606475663856898,11.84049187492537,0,sample_225
46.798992687506264,9.12495444736879,6.38474217977936,38.43777847706146,-28.26143189061851,21.38330824986605,1,sample_226
-23.532179517272645,33.628130186836955,12.510872711994885,11.531958807994805,-18.082326667408786,5.028390728697427,0,sample_227
51.16426899679322,3.062351968809596,9.180250955475135,43.04186802717804,-23.45819348753378,21.910722628316364,1,sample_228
-8.129311343280698,40.14841503158119,-15.215239806364316,0.341046284521485,-37.76812299262172,14.49812468196169,0,sample_229
36.78766212736775,13.511302857851886,5.4244945659202415,28.628386715995763,-23.12730953386289,15.011655246760734,1,sample_230
-29.304115127217987,32.70667959621045,15.759682219377057,10.064334241851869,-11.16694140198187,7.340461228807614,0,sample_231
38.99430940226568,18.76151840845448,8.658890591784447,-1.758081792705009,-24.98510653269392,0.7750044872027272,1,sample_232
-17.510542670053894,35.36584996673253,-2.2398163074190585,7.444896922843648,-17.641397005389486,5.423659308701839,0,sample_233
44.98024194864587,12.233591801981081,15.701092119240599,-7.83588392707565,-3.429356865451765,-5.890819627868224,1,sample_234
-26.037887421722303,36.60067354119225,8.956271546876744,9.106097258670065,-12.097593396469623,-5.41024755141749,0,sample_235
-20.117408942868657,35.33849176377914,0.9282465616162328,8.64414446714678,-15.50409644969808,0.6929027495512982,0,sample_236
